SNe	Obs	redshift	BminusV	Type1	Type2	Type3	Bmax	Vmax	Rmax	Imax	B_scores1	V_scores1	R_scores1	I_scores1	B_scores2	V_scores2	R_scores2	I_scores2	B_scores3	V_scores3	R_scores3	I_scores3	B_scores4	V_scores4	R_scores4	I_scores4	B_scoresSD1	V_scoresSD1	R_scoresSD1	I_scoresSD1	B_scoresSD2	V_scoresSD2	R_scoresSD2	I_scoresSD2	B_scoresSD3	V_scoresSD3	R_scoresSD3	I_scoresSD3	B_scoresSD4	V_scoresSD4	R_scoresSD4	I_scoresSD4
SN2007cq	LOSS	0.024719434	-0.00676387480270257	NA	NA	NA	15.891	15.867	15.989	16.182	0.613	0.893	0.692	-0.379	-0.383	-0.241	0	0.42	0.366	0.03	0.034	0.236	-0.12	-0.08	0.09	0.147	0.108	0.09	0.082	0.111	0.068	0.05	0.059	0.078	0.11	0.044	0.042	0.17	0.069	0.049	0.03	0.114
SN2007hj	LOSS	0.013026345	0.137826809313543	FAINT	CL	HV	15.56	15.419	15.366	15.566	4.645	3.322	2.869	3.116	0.81	0.179	-0.12	-1.349	-0.239	-0.585	0.367	0.086	-0.094	-0.45	-0.48	-0.226	0.139	0.098	0.099	0.109	0.121	0.078	0.079	0.091	0.138	0.088	0.044	0.157	0.103	0.055	0.048	0.095
SN2007le	LOSS	0.005607546	0.210561830997753	HVG	NA	HV	13.837	13.6	13.5	13.689	0.473	-0.099	-0.307	-1.091	-0.38	-0.02	-0.18	1.082	0.577	-0.223	-0.473	0.591	-0.278	0.151	0.137	-0.355	0.07	0.057	0.049	0.065	0.049	0.03	0.031	0.034	0.056	0.038	0.025	0.042	0.059	0.023	0.023	0.052
SN2008dr	LOSS	0.040216155	0.105014755030552	NA	NA	NA	17.567	17.44	17.461	17.858	2.726	2.162	1.827	1.515	-0.617	-0.183	-0.22	-1.041	-0.038	-0.095	0.476	1.038	-0.168	-0.055	0.573	0.725	0.282	0.142	0.154	0.22	0.176	0.088	0.114	0.199	0.132	0.099	0.099	0.212	0.067	0.049	0.082	0.119
SN2001ep	CfA	0.012944622	0.113275761534911	HVG	CL	N	14.938	14.805	14.818	14.943	1.861	1.301	0.517	-0.071	0.103	-0.272	-0.02	-0.32	-0.155	0.025	0.271	0.68	-0.272	0.019	0.083	0.163	0.234	0.142	0.197	0.114	0.137	0.077	0.061	0.124	0.168	0.046	0.054	0.12	0.099	0.087	0.119	0.069
SN2001fh	CfA	0.012108377	-0.0155116244867468	NA	NA	N	14.575	14.573	14.665	14.954	1.39	2.822	2.691	1.8	0.491	-0.064	0.084	-0.086	-0.378	0.22	0.267	0.126	0.097	-0.04	-0.075	0.143	0.285	0.179	0.177	0.185	0.147	0.096	0.111	0.203	0.095	0.079	0.137	0.272	0.088	0.082	0.103	0.114
SN2002hu	CfA	0.0382	-0.0405076141130749	NA	NA	NA	16.66	16.692	16.809	16.998	-0.079	0.011	-0.243	-1.878	-0.075	-0.014	0.161	0.656	0.144	0.047	-0.052	-0.575	-0.169	-0.295	0.011	-0.021	0.163	0.131	0.17	0.237	0.161	0.08	0.056	0.126	0.106	0.051	0.066	0.193	0.097	0.072	0.07	0.115
SN2003cg	CfA	0.005289993	1.16719033290172	NA	NA	NA	15.742	14.55	14.084	13.785	0.171	1.1	0.32	-0.766	-0.163	-0.556	0.015	0.264	-0.24	-0.286	0.033	0.428	-0.337	0.426	0.465	0.124	0.234	0.129	0.098	0.094	0.153	0.086	0.062	0.074	0.091	0.042	0.053	0.128	0.11	0.08	0.06	0.071
SN2005el	CfA	0.014885	-0.00428699721301129	LVG	CN	N	14.935	14.938	15.135	15.565	2.355	1.429	1.947	1.172	-0.465	-0.054	-0.145	0.192	0.237	-0.352	0.228	0.744	-0.353	-0.159	0.312	0.784	0.075	0.046	0.058	0.058	0.039	0.023	0.05	0.064	0.061	0.04	0.032	0.09	0.039	0.023	0.024	0.068
SN2005lz	CfA	0.0402	0.0919760702534589	NA	BL	N	17.664	17.576	17.682	18.125	1.767	-0.086	3.087	0.958	0.113	0.464	0.006	0.027	0.147	-0.223	0.381	0.477	-0.067	-0.347	-0.362	0.655	0.34	0.227	0.193	0.225	0.167	0.123	0.095	0.235	0.102	0.099	0.126	0.21	0.062	0.088	0.106	0.16
SN2005mc	CfA	0.026099056	0.262319238741863	NA	NA	N	17.288	16.994	17.045	17.373	4.723	4.295	3.354	3.056	-0.346	-0.701	0.315	-1.128	0.119	-0.249	0.347	0.351	-0.123	-0.187	-0.33	-0.292	0.26	0.191	0.181	0.283	0.12	0.093	0.108	0.218	0.157	0.083	0.122	0.192	0.048	0.069	0.099	0.106
SN2005mz	CfA	0.016902026	0.301725673412776	NA	NA	NA	16.509	16.088	16.23	16.535	4.118	5.495	4.963	5.694	1.092	0.231	0.375	-0.072	0.725	0.345	-0.257	-1.118	-0.388	0.202	-0.215	0.226	0.228	0.128	0.128	0.197	0.129	0.085	0.136	0.091	0.084	0.068	0.07	0.085	0.084	0.082	0.084	0.09
SN2006X	CfA	0.006376078	1.29346700332449	NA	BL	HV	15.252	13.942	13.608	13.712	0.335	-0.019	-0.113	-0.85	0.363	0.2	-0.068	0.491	-0.324	-0.207	0.197	0.985	-0.133	0.017	0.366	0.159	0.084	0.056	0.058	0.054	0.052	0.027	0.025	0.045	0.05	0.035	0.033	0.044	0.048	0.022	0.024	0.04
SN2006ac	CfA	0.023618006	0.17828067443633	NA	NA	HV	16.276	16.086	16.27	16.723	1.467	1.321	1.052	0.197	-0.434	-0.341	-0.329	0.388	-0.06	-0.143	0.047	0.971	-0.255	-0.208	0.403	0.413	0.167	0.095	0.09	0.103	0.123	0.046	0.063	0.068	0.132	0.054	0.056	0.134	0.087	0.045	0.049	0.082
SN2006ar	CfA	0.022850141	0.143511685257391	NA	NA	NA	16.505	16.332	16.44	16.922	1.067	-0.763	4.203	0.796	-0.307	-0.125	0.478	0.207	0.598	0.222	-0.048	0.381	-0.181	-0.045	0	0.153	0.413	0.15	0.719	0.358	0.143	0.043	0.123	0.105	0.069	0.063	0.028	0.17	0.084	0.043	0.036	0.152
SN2006ax	CfA	0.01796	-0.00632294323572324	NA	NA	NA	15.101	15.106	15.355	15.8	0.653	-0.154	-0.441	-0.92	-0.333	0.157	-0.442	1.079	-0.053	-0.43	-0.635	0.238	0.261	0.205	0.176	-0.023	0.111	0.085	0.079	0.084	0.077	0.051	0.031	0.062	0.049	0.034	0.032	0.06	0.089	0.049	0.042	0.063
SN2006az	CfA	0.031464768	-0.0553785771279429	NA	NA	NA	16.523	16.556	16.766	17.163	2.608	1.896	1.077	0.33	-0.706	-0.481	-0.866	-0.445	0.161	-0.071	-0.027	0.657	-0.134	-0.057	0.284	0.28	0.149	0.114	0.079	0.111	0.113	0.08	0.051	0.067	0.083	0.05	0.032	0.11	0.086	0.071	0.043	0.071
SN2006cc	CfA	0.032892088	0.44936494593043	NA	NA	NA	17.897	17.425	17.414	17.719	-0.232	0.243	0.099	-1.171	-0.455	-0.079	0.213	1.194	0.161	0.226	-0.315	0.045	0.041	0.101	0.323	-0.508	0.205	0.167	0.112	0.096	0.164	0.1	0.039	0.068	0.062	0.049	0.06	0.07	0.094	0.081	0.052	0.052
SN2006le	CfA	0.017260608	-0.0109658699320967	NA	NA	NA	15.005	14.984	15.25	15.864	-0.85	-0.529	-0.398	-1.284	-0.271	-0.086	0.251	1.214	0.173	-0.059	-0.241	0.128	0.175	0.349	0.154	-0.567	0.098	0.05	0.048	0.073	0.069	0.03	0.027	0.052	0.051	0.03	0.029	0.045	0.058	0.034	0.028	0.051
SN2006ob	CfA	0.058258971	0.0454670927567378	NA	NA	NA	18.292	18.204	18.34	18.758	3.503	3.621	3.715	2.755	0.102	-0.326	0.268	-1.125	-0.116	0.392	-0.105	1.39	-0.082	-0.053	-0.417	0.493	0.318	0.319	0.296	0.35	0.134	0.105	0.11	0.17	0.121	0.067	0.115	0.233	0.048	0.06	0.124	0.152
SN2007F	CfA	0.024365189	7.00284030141773e-05	NA	SS	N	15.948	15.93	16.114	16.548	0.176	-0.17	-0.179	-1.059	-0.769	-0.171	0.109	1.03	0.177	-0.005	-0.283	0.099	0.203	0.198	0.159	-0.202	0.118	0.06	0.063	0.078	0.08	0.037	0.025	0.068	0.063	0.034	0.029	0.071	0.072	0.031	0.028	0.058
SN2007S	CfA	0.0137	0.43011817548785	NA	NA	N	15.873	15.404	15.438	15.73	-1.145	-0.725	-0.811	-1.587	-0.052	0.087	0.19	0.783	0.168	0.149	-0.274	-0.284	0.101	0.28	0.08	-0.286	0.097	0.063	0.064	0.06	0.074	0.029	0.025	0.039	0.066	0.029	0.034	0.074	0.062	0.029	0.029	0.053
SN2007af	CfA	0.006172604	0.0635489562975131	HVG	BL	N	13.19	13.112	13.258	13.666	1.486	0.665	0.526	-0.219	-0.369	-0.241	0.099	0.42	-0.098	0.063	0.236	0.471	0.213	0.034	0.249	0.324	0.059	0.057	0.048	0.039	0.035	0.026	0.037	0.035	0.052	0.035	0.03	0.029	0.036	0.028	0.022	0.028
SN2007bd	CfA	0.031879721	-0.00298759953742689	NA	NA	N	16.623	16.601	16.782	17.263	1.491	1.25	1.165	0.221	-0.418	0.217	-1.201	-0.073	0.807	-0.248	0.145	1.447	-0.476	-0.358	0.345	-0.176	0.332	0.141	0.178	0.167	0.149	0.141	0.104	0.301	0.058	0.068	0.134	0.145	0.074	0.067	0.097	0.1
SN2007ca	CfA	0.015146812	0.347680499698502	NA	NA	NA	16.02	15.661	15.796	15.986	-0.559	-0.731	-0.013	-0.511	-0.232	0.381	-0.077	1.179	0.18	0.075	-0.38	0.065	0.17	-0.044	0.27	-0.309	0.155	0.099	0.095	0.124	0.111	0.08	0.128	0.073	0.097	0.091	0.11	0.079	0.083	0.056	0.048	0.054
SN2007co	CfA	0.026562042	0.107097550631863	LVG	BL	N	16.534	16.398	16.553	17.061	0.723	0.306	0.102	-1.249	-0.121	0.042	0.035	0.639	0.037	0.166	-0.039	0.223	-0.115	0.067	0.316	0.211	0.21	0.14	0.107	0.123	0.171	0.09	0.048	0.065	0.08	0.04	0.051	0.15	0.1	0.067	0.041	0.076
SN2007qe	CfA	0.022873157	0.0596174304796797	NA	NA	HV	16.087	15.988	16.162	16.721	-0.228	-0.471	-0.783	-1.555	-0.136	0.061	-0.111	1.143	0.304	-0.183	-0.584	0.11	-0.005	0.299	0.178	0.011	0.091	0.083	0.083	0.105	0.047	0.039	0.033	0.064	0.052	0.036	0.037	0.045	0.052	0.043	0.041	0.05
SN2007kk	CfA	0.040569733	0.0416669915656804	NA	NA	HV	16.983	16.904	17.247	17.753	-0.851	-0.604	0.348	-1.9	-0.126	0.039	-0.681	-0.073	0.013	0.096	0.186	0.311	-0.003	0.079	-0.255	0.323	0.171	0.137	0.134	0.163	0.122	0.11	0.134	0.114	0.134	0.095	0.082	0.186	0.07	0.078	0.077	0.125
SN2004ef	CSP	0.029777267	0.114885856530211	NA	NA	HV	16.898	16.757	16.859	17.263	2.445	1.901	1.443	1.039	0.044	-0.125	-0.874	-0.178	0.048	0.155	0.076	1.503	-0.473	-0.284	0.211	0.175	0.055	0.031	0.034	0.037	0.053	0.021	0.024	0.031	0.035	0.026	0.016	0.038	0.04	0.017	0.01	0.03
SN2004eo	CSP	0.014761545	0.0573306327886858	NA	NA	NA	15.116	15.036	15.21	15.565	2.426	1.804	0.76	-0.087	0.03	-0.288	-0.556	-0.387	-0.134	0.17	0.269	1.275	-0.328	-0.152	0.017	-0.194	0.094	0.07	0.058	0.05	0.064	0.037	0.044	0.033	0.05	0.028	0.026	0.032	0.059	0.029	0.022	0.027
SN2004ey	CSP	0.014688161	-0.0859678223431075	NA	NA	NA	14.781	14.851	15.036	15.525	0.749	0.062	0.18	-0.967	-0.719	-0.176	0.141	0.963	0.199	-0.195	-0.208	0.163	0.087	0.071	0.211	-0.022	0.036	0.034	0.029	0.023	0.018	0.018	0.03	0.028	0.038	0.03	0.022	0.024	0.018	0.017	0.012	0.036
SN2004gs	CSP	0.0283	0.189177360761271	NA	CL	N	17.189	16.96	17.089	17.382	3.315	3.143	2.221	2.15	0.308	-0.251	-0.595	-1.186	-0.147	0.098	0.42	0.639	-0.232	-0.098	-0.251	0.214	0.059	0.049	0.035	0.056	0.049	0.034	0.059	0.048	0.09	0.049	0.031	0.103	0.045	0.026	0.022	0.069
